"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_interleaved_data_kernel<input_val_1D<unsigned long>, double>(input_val_1D<unsigned long>, input_val_1D<unsigned long>, unsigned long, unsigned long, input_val_1D<unsigned long>, rocfft_complex<double>*, input_val_1D<unsigned long>, unsigned long, input_val_1D<unsigned long>, unsigned long)","11","396829789","36075435","75.391"
"fft_rtc_back_len_256_factors_4_4_4_4_wgs_256_tpt_64_dim_2_dp_op_CI_CI_sbcc_twdbase6_3step_dirReg","11","58287168","5298833","11.074"
"fft_rtc_back_len_256_factors_8_8_4_wgs_256_tpt_32_dim_2_dp_op_CI_CI_unitstride_sbrc_aligned_dirReg","11","38927924","3538902","7.396"
"c2r_even_pre_Ndiv4_dim1_dp_CI_CI","11","32162310","2923846","6.11"
"void impose_hermitian_symmetry_interleaved_1D_kernel<rocfft_complex<double> >(rocfft_complex<double>*, unsigned long, unsigned long, unsigned long, unsigned long, bool)","11","71359","6487","0.014"
"twiddle_gen_radices_dp","2","53919","26959","0.01"
"twiddle_gen_N_dp","1","19679","19679","0.004"
"twiddle_gen_large_dp","1","7840","7840","0.001"
"Total","59","526359988","8921355","100.0"
