Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_ACTIVE_INST_VALU,SQ_INSTS_FLAT_LDS_ONLY,SQ_INSTS_LDS,SQ_INSTS_VALU,SQ_INSTS_VMEM_RD,SQ_INSTS_VMEM_WR,SQ_LDS_BANK_CONFLICT,SQ_WAIT_INST_LDS,TA_FLAT_READ_WAVEFRONTS[0],TA_FLAT_READ_WAVEFRONTS[1],TA_FLAT_READ_WAVEFRONTS[2],TA_FLAT_READ_WAVEFRONTS[3],TA_FLAT_READ_WAVEFRONTS[4],TA_FLAT_READ_WAVEFRONTS[5],TA_FLAT_READ_WAVEFRONTS[6],TA_FLAT_READ_WAVEFRONTS[7],TA_FLAT_READ_WAVEFRONTS[8],TA_FLAT_READ_WAVEFRONTS[9],TA_FLAT_READ_WAVEFRONTS[10],TA_FLAT_READ_WAVEFRONTS[11],TA_FLAT_READ_WAVEFRONTS[12],TA_FLAT_READ_WAVEFRONTS[13],TA_FLAT_READ_WAVEFRONTS[14],TA_FLAT_READ_WAVEFRONTS[15],TA_TA_BUSY[0],TA_TA_BUSY[1],TA_TA_BUSY[2],TA_TA_BUSY[3],TA_TA_BUSY[4],TA_TA_BUSY[5],TA_TA_BUSY[6],TA_TA_BUSY[7],TA_TA_BUSY[8],TA_TA_BUSY[9],TA_TA_BUSY[10],TA_TA_BUSY[11],TA_TA_BUSY[12],TA_TA_BUSY[13],TA_TA_BUSY[14],TA_TA_BUSY[15],TCC_EA_WRREQ_STALL[0],TCC_EA_WRREQ_STALL[1],TCC_EA_WRREQ_STALL[2],TCC_EA_WRREQ_STALL[3],TCC_EA_WRREQ_STALL[4],TCC_EA_WRREQ_STALL[5],TCC_EA_WRREQ_STALL[6],TCC_EA_WRREQ_STALL[7],TCC_EA_WRREQ_STALL[8],TCC_EA_WRREQ_STALL[9],TCC_EA_WRREQ_STALL[10],TCC_EA_WRREQ_STALL[11],TCC_EA_WRREQ_STALL[12],TCC_EA_WRREQ_STALL[13],TCC_EA_WRREQ_STALL[14],TCC_EA_WRREQ_STALL[15],TCC_EA_WRREQ_STALL[16],TCC_EA_WRREQ_STALL[17],TCC_EA_WRREQ_STALL[18],TCC_EA_WRREQ_STALL[19],TCC_EA_WRREQ_STALL[20],TCC_EA_WRREQ_STALL[21],TCC_EA_WRREQ_STALL[22],TCC_EA_WRREQ_STALL[23],TCC_EA_WRREQ_STALL[24],TCC_EA_WRREQ_STALL[25],TCC_EA_WRREQ_STALL[26],TCC_EA_WRREQ_STALL[27],TCC_EA_WRREQ_STALL[28],TCC_EA_WRREQ_STALL[29],TCC_EA_WRREQ_STALL[30],TCC_EA_WRREQ_STALL[31],TCC_EA1_WRREQ_STALL[0],TCC_EA1_WRREQ_STALL[1],TCC_EA1_WRREQ_STALL[2],TCC_EA1_WRREQ_STALL[3],TCC_EA1_WRREQ_STALL[4],TCC_EA1_WRREQ_STALL[5],TCC_EA1_WRREQ_STALL[6],TCC_EA1_WRREQ_STALL[7],TCC_EA1_WRREQ_STALL[8],TCC_EA1_WRREQ_STALL[9],TCC_EA1_WRREQ_STALL[10],TCC_EA1_WRREQ_STALL[11],TCC_EA1_WRREQ_STALL[12],TCC_EA1_WRREQ_STALL[13],TCC_EA1_WRREQ_STALL[14],TCC_EA1_WRREQ_STALL[15],TCC_EA1_WRREQ_STALL[16],TCC_EA1_WRREQ_STALL[17],TCC_EA1_WRREQ_STALL[18],TCC_EA1_WRREQ_STALL[19],TCC_EA1_WRREQ_STALL[20],TCC_EA1_WRREQ_STALL[21],TCC_EA1_WRREQ_STALL[22],TCC_EA1_WRREQ_STALL[23],TCC_EA1_WRREQ_STALL[24],TCC_EA1_WRREQ_STALL[25],TCC_EA1_WRREQ_STALL[26],TCC_EA1_WRREQ_STALL[27],TCC_EA1_WRREQ_STALL[28],TCC_EA1_WRREQ_STALL[29],TCC_EA1_WRREQ_STALL[30],TCC_EA1_WRREQ_STALL[31],TCC_HIT[0],TCC_HIT[1],TCC_HIT[2],TCC_HIT[3],TCC_HIT[4],TCC_HIT[5],TCC_HIT[6],TCC_HIT[7],TCC_HIT[8],TCC_HIT[9],TCC_HIT[10],TCC_HIT[11],TCC_HIT[12],TCC_HIT[13],TCC_HIT[14],TCC_HIT[15],TCC_HIT[16],TCC_HIT[17],TCC_HIT[18],TCC_HIT[19],TCC_HIT[20],TCC_HIT[21],TCC_HIT[22],TCC_HIT[23],TCC_HIT[24],TCC_HIT[25],TCC_HIT[26],TCC_HIT[27],TCC_HIT[28],TCC_HIT[29],TCC_HIT[30],TCC_HIT[31],TCC_MISS[0],TCC_MISS[1],TCC_MISS[2],TCC_MISS[3],TCC_MISS[4],TCC_MISS[5],TCC_MISS[6],TCC_MISS[7],TCC_MISS[8],TCC_MISS[9],TCC_MISS[10],TCC_MISS[11],TCC_MISS[12],TCC_MISS[13],TCC_MISS[14],TCC_MISS[15],TCC_MISS[16],TCC_MISS[17],TCC_MISS[18],TCC_MISS[19],TCC_MISS[20],TCC_MISS[21],TCC_MISS[22],TCC_MISS[23],TCC_MISS[24],TCC_MISS[25],TCC_MISS[26],TCC_MISS[27],TCC_MISS[28],TCC_MISS[29],TCC_MISS[30],TCC_MISS[31],TCP_TCP_TA_DATA_STALL_CYCLES[0],TCP_TCP_TA_DATA_STALL_CYCLES[1],TCP_TCP_TA_DATA_STALL_CYCLES[2],TCP_TCP_TA_DATA_STALL_CYCLES[3],TCP_TCP_TA_DATA_STALL_CYCLES[4],TCP_TCP_TA_DATA_STALL_CYCLES[5],TCP_TCP_TA_DATA_STALL_CYCLES[6],TCP_TCP_TA_DATA_STALL_CYCLES[7],TCP_TCP_TA_DATA_STALL_CYCLES[8],TCP_TCP_TA_DATA_STALL_CYCLES[9],TCP_TCP_TA_DATA_STALL_CYCLES[10],TCP_TCP_TA_DATA_STALL_CYCLES[11],TCP_TCP_TA_DATA_STALL_CYCLES[12],TCP_TCP_TA_DATA_STALL_CYCLES[13],TCP_TCP_TA_DATA_STALL_CYCLES[14],TCP_TCP_TA_DATA_STALL_CYCLES[15],DispatchNs,BeginNs,EndNs,CompleteNs
0,twiddle_gen_radices_dp,0,1,0,1715735,1715735,2048,1024,0,0,32,0,48,64,0x0,35085,35085,23744,0,0,23552,96,224,0,0,0,0,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,5061,0,5234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,12,12,13,12,12,12,16,12,12,12,15,12,18,16,16,12,12,15,12,12,12,15,14,12,12,12,16,12,12,12,6,5,5,4,5,4,4,4,8,4,4,4,7,4,8,9,8,4,4,7,4,4,4,8,6,4,4,4,9,4,4,4,0,0,1037,0,1062,0,0,0,0,0,0,0,0,0,0,0,2347663974801154,2347663978711876,2347663978727076,2347663978740666
1,twiddle_gen_large_dp,0,1,2,1715735,1715735,8192,1024,0,0,32,0,32,64,0x0,21489,21489,2096,0,0,2096,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987,0,718,736,0,2132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,0,0,0,0,0,0,28,0,0,0,28,0,7,0,28,0,0,0,0,0,0,0,21,0,0,0,0,0,0,28,11,5,9,4,8,4,8,4,12,4,8,4,12,4,9,5,12,4,8,4,8,4,8,5,11,4,8,4,9,4,8,8,0,0,0,1768,0,645,663,0,1913,0,0,0,0,0,0,0,2347664096054523,2347664097123633,2347664097128273,2347664097134282
2,twiddle_gen_radices_dp,0,1,4,1715735,1715735,8192,1024,0,0,32,0,48,64,0x0,30900,30900,48352,0,0,47584,384,400,0,0,0,0,0,0,96,48,48,48,0,144,0,0,0,0,0,0,0,0,0,0,6078,2812,2943,2858,0,9166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,27,18,18,26,19,18,22,42,18,19,20,40,19,56,46,46,18,18,40,19,18,19,43,33,19,18,21,46,20,19,19,12,9,9,8,9,8,8,8,10,8,8,8,11,8,12,13,12,8,8,11,8,8,8,12,10,8,8,8,13,8,8,8,0,0,0,0,1642,737,775,754,0,2454,0,0,0,0,0,0,2347664101036453,2347664102015311,2347664102025711,2347664102027891
3,_ZL39generate_random_interleaved_data_kernelI12input_val_1DImEdEvT_S2_mmS2_P14rocfft_complexIT0_ES2_mS2_m,0,0,27,1715735,1715735,524288000,8,0,0,16,0,32,64,0x0,328218112,328218112,10420224000,0,0,10223616000,0,65536000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283691035,227186883,454119290,454007265,397304790,454154103,453912407,454209091,454055230,454337689,454039262,0,0,0,0,0,39627,39347,39344,39263,38861,39304,38713,39126,38933,38674,39442,38902,39754,39357,39335,40439,39410,39312,39343,38857,39194,39258,39375,39860,38929,39264,38983,39595,39542,39236,39082,39705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2898,6069,3414,4102,57277,4303,3537,3981,3163,3047,1610,4724,3050,4795,8756,8979,2802,4425,3630,4310,2679,3890,1876,4046,3213,4685,5923,4505,3272,4836,3689,4559,4096012,4096054,4096015,4096012,4096117,4096012,4096016,4096012,4096012,4096008,4096004,4096017,4096008,4096013,4096060,4096102,4096009,4096012,4096016,4096012,4096014,4096011,4096005,4096013,4096013,4096013,4096060,4096012,4096012,4096012,4096014,4096012,50437621,40609342,80955097,80821003,70790799,80990868,80764732,81046057,80908490,81190668,80886788,0,0,0,0,0,2347664148381756,2347664149378613,2347664368174251,2347664368219131
4,transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned,0,0,28,1715735,1715735,524288000,1024,16896,0,12,0,32,64,0x0,21983013,21983013,319488000,0,16384000,270336000,8192000,8192000,0,30726975,514464,411472,821792,820304,717584,819424,818000,818400,817760,816768,816032,0,0,0,0,0,29124851,23345010,46743740,46971620,40902920,46942115,46860125,46893647,46950360,47005824,47079774,0,0,0,0,0,932664,1103307,933438,983006,2053204,1084780,1054017,1049101,1058261,1152599,1016722,982873,923181,1044668,943057,1089022,928094,1030139,1079424,1071097,1088175,980942,1048678,996259,1060517,1066243,1187072,984784,1123060,958875,1065301,926072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2202,3698,4420,2758,54258,2365,4251,3354,2245,3236,2464,3082,1783,3293,3775,3745,1872,2976,4124,3819,1466,2908,2612,3233,1919,2452,4098,3628,1847,3283,4699,3381,6144021,6144035,6144034,6144034,6144393,6144022,6144030,6144034,6144020,6144034,6144023,6144033,6144021,6144032,6144030,6144035,6144022,6144033,6144031,6144038,6144020,6144024,6144025,6144033,6144024,6144022,6144031,6144034,6144022,6144035,6144035,6144035,7865333,6337047,12766280,13040377,11255103,13172727,13041763,13143424,13192542,13365239,13408723,0,0,0,0,0,2347664149387674,2347664369072811,2347664383716499,2347664383736316
5,fft_rtc_fwd_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg,0,0,29,1715735,1715735,65536000,64,4096,0,64,0,32,64,0x0,19554309,19554309,324608000,0,49152000,324608000,22528000,8192000,262144000,59324654,1408528,1128248,2255440,2254208,1971596,2252008,2252008,2252206,2252668,2251304,2249786,0,0,0,0,0,84598426,70632981,138700189,139089265,122512049,139751040,140122609,139980741,140347501,140524173,141170098,0,0,0,0,0,8101814,6342891,6882931,6819854,6698239,6504070,6518889,6443787,6527239,6391355,6977717,6717295,6766849,6470925,6394096,6952728,6460012,6442461,6896768,6560767,6545603,6552903,6618227,6704086,6429662,6706802,6400949,6455116,7069780,6363642,6758256,6655067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760775,1034763,1157059,970976,1125744,1139537,1105587,1139586,1015551,1128624,1126763,1128061,1158387,1154598,1016244,780537,1129549,1103714,1130158,759887,1138929,1154480,1137730,1013977,1038095,1017620,1038060,1127950,1106666,1126329,1106097,773872,5539925,5541387,5539666,5542235,5540194,5539572,5540384,5539578,5539224,5541545,5539433,5540573,5538302,5542694,5538770,5542399,5540094,5540651,5540100,5541087,5539691,5542751,5542827,5541668,5539253,5537964,5539442,5538106,5539218,5539911,5539907,5540145,13339003,12353352,23324000,23234196,20993372,23849130,24117027,24039201,24046130,24334508,24720821,0,0,0,0,0,2347664150413442,2347664384611219,2347664397634746,2347664397656849
6,transpose_rtc_tile32x32_dim2_dp_CI_CI_twd3step_fwd_diag_aligned,0,0,30,1715735,1715735,524288000,1024,16896,0,24,0,32,64,0x0,22794565,22794565,491520000,0,16384000,442368000,32768000,8192000,0,29268664,2064064,1650496,3291008,3288064,2872704,3277120,3273024,3269056,3264448,3261632,3256384,0,0,0,0,0,84823255,67799561,135517549,135654400,118750048,135754369,135689858,135641132,135688355,135651508,135700773,0,0,0,0,0,23594,31813,19474,25391,23644,22247,22889,25685,24591,20732,23926,19529,29806,29710,22053,20554,23969,20815,25218,18724,21176,22676,22284,22348,25490,14362,31631,19900,18027,21435,23131,26526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279869,560795,278080,523076,274423,553340,280413,508664,273823,548394,278371,510409,276087,562306,290873,525691,278442,560684,273425,527509,416160,546065,274132,508411,277779,544506,280483,510551,280369,557505,278708,523133,6144028,6144032,6144029,6144040,6144028,6144028,6144028,6144043,6144028,6144032,6144040,6144040,6144028,6144040,6144417,6144041,6144026,6144040,6144028,6144040,6144030,6144032,6144036,6144040,6144028,6144028,6144032,6144040,6144028,6144040,6144028,6144040,2869231,2382232,4728994,4758826,4229106,4874881,4866278,4923792,4949972,4970035,5064360,0,0,0,0,0,2347664151424490,2347664398529627,2347664413712835,2347664413733388
7,fft_rtc_fwd_len_1024_factors_8_8_4_4_wgs_128_tpt_128_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg,0,0,31,1715735,1715735,65536000,128,8192,0,64,0,32,64,0x0,19141881,19141881,397312000,0,73728000,397312000,24576000,8192000,262144000,195267458,1544592,1233984,2467536,2466432,2151456,2456496,2457408,2454240,2450592,2444640,2448624,0,0,0,0,0,82941054,66304244,132622208,132805968,116284609,132901976,132801873,132879290,132822919,132942084,132988907,0,0,0,0,0,5080600,5028502,5524707,5348662,5673050,5807132,5691295,5401298,6328775,5556416,5475925,5658651,5483444,5715560,5576752,5250380,5393594,5583341,5486609,5295830,5572531,5415546,5647912,5694479,5314737,5657322,5676879,5101613,5081451,5558646,5633826,5804761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2337980,2143576,2332961,2137752,2333388,2143764,2333384,1919577,1747374,2143670,2333388,2027678,2337839,2143576,2333007,2137752,2337788,2143717,2332948,2137752,2335684,2143619,2333388,1934194,2333388,2143764,2333388,1926673,2337980,2238168,2333168,2137752,6144012,6144008,6144013,6144008,6144012,6144012,6144016,6144012,6144010,6144010,6144012,6144013,6144009,6144008,6144013,6144009,6144012,6144011,6144013,6144008,6144012,6144013,6144012,6144013,6144012,6144012,6144012,6144009,6144012,6144008,6144012,6144008,18859963,15018572,30055031,30263261,26808142,30417051,30451423,30621360,30513079,30705662,30893417,0,0,0,0,0,2347664152448928,2347664414608996,2347664427357323,2347664427380308
8,transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned,0,0,32,1715735,1715735,524288000,1024,16896,0,12,0,32,64,0x0,21972876,21972876,319488000,0,16384000,270336000,8192000,8192000,0,30717952,513648,410704,821408,820688,717360,819232,819408,818064,817664,817104,816720,0,0,0,0,0,26112675,20966814,41955987,42015287,36719920,42097009,42235077,42166593,42199533,42357099,42164064,0,0,0,0,0,622130,740506,683848,592299,609946,528118,603447,706970,595335,691917,583333,678607,637972,556100,661035,670233,562200,721716,610008,656980,658579,613495,611357,695806,613410,581668,558338,696120,686767,569314,622842,644982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,94,0,0,74,188,0,0,0,188,0,0,0,47,0,0,0,0,0,0,0,0,6144000,6144000,6144001,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144002,6144000,6144000,6144001,6144005,6144000,6144000,6144000,6144004,6144000,6144000,6144000,6144001,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,5181703,4227329,8491115,8608507,7557809,8776036,8921872,8940714,9017207,9235644,9083256,0,0,0,0,0,2347664153444097,2347664428250536,2347664442887495,2347664442913704
9,_ZL39generate_random_interleaved_data_kernelI12input_val_1DImEdEvT_S2_mmS2_P14rocfft_complexIT0_ES2_mS2_m,0,0,33,1715735,1715735,524288000,8,0,0,16,0,32,64,0x0,328214675,328214675,10420224000,0,0,10223616000,0,65536000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283259421,227070887,454004061,453818862,397695781,453819228,454129704,453770329,454312837,453857834,454281527,0,0,0,0,0,1762,1676,1726,1760,1700,1655,1699,1879,1755,1665,1678,1807,1764,1609,1705,1768,1785,1717,1679,1622,1649,1730,1796,1729,1697,1655,1684,1781,1775,1730,1719,1762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3517,4962,2187,4933,70724,3389,1699,5115,3861,3845,1923,5812,3860,5838,3869,5851,3516,5253,3451,5149,3284,3334,1685,4823,4014,3818,1906,5753,3941,5772,3837,5866,4096012,4096012,4096006,4096012,4096015,4096008,4096004,4096012,4096012,4096008,4096004,4096016,4096008,4096012,4096008,4096012,4096009,4096014,4096008,4096012,4096008,4096008,4096004,4096013,4096012,4096008,4096004,4096012,4096012,4096012,4096008,4096012,50077180,40569534,80980304,80800771,71337288,80805708,81137578,80752253,81331705,80859414,81323979,0,0,0,0,0,2347664154470985,2347664443783394,2347664662579008,2347664662608698
10,transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned,0,0,35,1715735,1715735,524288000,1024,16896,0,12,0,32,64,0x0,21972795,21972795,319488000,0,16384000,270336000,8192000,8192000,0,30716063,513824,410832,821120,820800,717664,819936,818880,817840,817392,817360,816352,0,0,0,0,0,26145840,20934497,41933142,42010322,36832127,42103417,42099348,42199472,42203367,42287548,42266366,0,0,0,0,0,523568,644569,716563,628306,598264,631219,674837,647269,689775,671780,585080,656103,660159,720196,529904,614220,651623,627308,603623,674624,582741,547877,586987,633196,654183,611971,670661,611609,731930,550108,631033,614399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,188,0,6144000,6144000,6144005,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144001,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144003,6144004,6144000,5238751,4239509,8525998,8586956,7643361,8814127,8858230,8996237,9017896,9139555,9205863,0,0,0,0,0,2347664155493213,2347664663480768,2347664678117734,2347664678138233
11,fft_rtc_fwd_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg,0,0,36,1715735,1715735,65536000,64,4096,0,64,0,32,64,0x0,19565450,19565450,324608000,0,49152000,324608000,22528000,8192000,262144000,59993583,1409144,1128578,2255858,2254318,1971530,2252536,2250490,2252360,2251150,2251612,2250424,0,0,0,0,0,84919733,70866702,139294232,139150157,122628148,140275862,140362901,140360493,140682147,141207282,141193436,0,0,0,0,0,7611514,6829117,6515098,6580450,6103790,6112710,6619022,6194793,6737799,6645213,6296522,6683159,6388818,6336232,6469561,6522373,6390272,6486077,6394052,6581875,6751845,6538503,6018554,6627310,6928127,6204606,6291164,6824623,6343813,6471176,6285236,6645135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749854,1026351,1145879,961456,1115532,1132251,1095016,1132097,1003271,1117832,1116702,1119731,1149468,1144757,1004697,770775,1117704,1093715,1119832,747029,1128310,1147288,1127345,1003951,1026163,1007783,1026097,1118637,1096094,1118088,1097339,762050,5551981,5553299,5555736,5555429,5555076,5551318,5555323,5551509,5554796,5556915,5554165,5553442,5552113,5557427,5553592,5555062,5556470,5554967,5555003,5556639,5554888,5554842,5557722,5554950,5554700,5551155,5554926,5552058,5554155,5552799,5553036,5554639,13469564,12380571,23468857,23428259,21103545,24164500,24239525,24185820,24388078,24876478,24717606,0,0,0,0,0,2347664156499831,2347664679012295,2347664692043180,2347664692060205
12,transpose_rtc_tile32x32_dim2_dp_CI_CI_twd3step_fwd_diag_aligned,0,0,37,1715735,1715735,524288000,1024,16896,0,24,0,32,64,0x0,22791455,22791455,491520000,0,16384000,442368000,32768000,8192000,0,29270295,2063616,1648512,3289984,3288704,2873600,3281216,3277568,3270144,3262912,3259904,3251840,0,0,0,0,0,84795715,67734391,135583687,135683892,118602898,135690432,135595571,135688621,135706677,135670772,135562776,0,0,0,0,0,20990,18912,25480,26692,21527,22870,31558,29104,18344,22992,21464,29234,20142,23477,21981,22131,26210,27481,33265,28953,21164,25789,20756,21153,23491,20088,21901,25513,20299,19620,23088,21132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281248,559911,278298,521769,275146,552936,280815,508997,274051,547906,278198,512757,277089,561781,289432,526933,279403,561138,273530,527549,416601,546299,274326,510135,278710,543765,280740,512317,281218,556396,278732,522320,6144028,6144032,6144029,6144040,6144016,6144029,6144028,6144040,6144016,6144032,6144028,6144040,6144028,6144039,6144414,6144041,6144028,6144040,6144028,6144040,6144018,6144032,6144028,6144040,6144016,6144030,6144032,6144040,6144026,6144039,6144028,6144040,2810396,2318061,4604784,4672888,4169741,4769202,4787257,4843457,4859039,4951192,4987282,0,0,0,0,0,2347664157504349,2347664692938221,2347664708120947,2347664708142565
